Pecha ID, Title, Author, Source ID, Language, Creation Date, Last Update
IAAD0C9EF,{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrakirti'}",,bo,google_docx,2025-01-30 14:12:13.969526
I41B73129,{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrakirti'}",,bo,google_docx,2025-01-30 15:15:22.366330
I44F6BF0B,{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrakirti'}",,bo,google_docx,2025-01-30 15:42:28.692567
I9E402E2C,{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa'}",,bo,google_docx,2025-01-30 10:35:14.838959
I5BACD733,{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa'}",,bo,google_docx,2025-01-30 10:46:07.690201
I90EE4D0F,{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤'},"{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa'}",,bo,google_docx,2025-01-30 10:54:10.582397
I9DC984AA,"{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'None', 'ZH': 'मध्यमकावतार-कारिका 6 -1-64'}","{'BO': 'སློབ་དཔོན་ཟླ་བ་གྲགས་པ།', 'EN': 'Chandrakriti', 'ZH': 'चन्द्रकीर्तिः'}",,sa,google_docx,2025-01-30 16:55:25.844433
IB9805E4B,"{'BO': 'དབུ་མ་འཇུག་པ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'None', 'ZH': '入中論第六菩提心現前地  今當別說世間世俗諦'}","{'BO': 'ཟླ་བ་གྲགས་པ།', 'EN': 'Candrak Irti', 'ZH': '月稱'}",,zh,google_docx,2025-01-30 16:57:34.176971
IE4CD4149,"{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'None', 'ZH': 'None'}","{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa', 'ZH': 'None'}",,bo,google_docx,2025-01-31 18:48:23.430273
I4995C405,"{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'Illuminating the Intent Chapter 6, verses 1 to 64', 'ZH': 'None'}","{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa', 'ZH': 'None'}",,en,google_docx,2025-01-31 18:49:44.985626
ICE49C00C,"{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'Illuminating the Intent Chapter 6, verses 1 to 64', 'ZH': 'None'}","{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa', 'ZH': 'None'}",,en,google_docx,2025-01-31 19:21:38.010537
IE2B5AF4E,"{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'None', 'ZH': 'None'}","{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa', 'ZH': 'None'}",,bo,google_docx,2025-01-31 19:21:53.139219
I02BB4D4A,"{'BO': 'དགོངས་པ་རབ་གསལ་ལས་སེམས་བསྐྱེད་དྲུག་པ། ཤོ་ལོ་ཀ ༡-༦༤', 'EN': 'Illuminating the Intent Chapter 6, verses 1 to 64', 'ZH': 'None'}","{'BO': 'ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།', 'EN': 'Tsongkhapa Lobzang Drakpa', 'ZH': 'None'}",,en,google_docx,2025-01-31 21:59:06.347463
